,Country Name,Country Code,Indicator Name,Indicator Code,Time Period,Value,Status,Unnamed: 7
9791974,Japan,158,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1963M4,69.60584344,,
9792239,Rwanda,714,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1986M4,2.54845591,,
9793154,Thailand,578,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1982M9,36.57415225,,
9793411,Italy,136,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1993M7,55.53006387,,
9793472,Italy,136,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2010M1,96.2,,
9795617,Spain,184,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1992M5,72.58647033,,
9795618,Spain,184,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2000M11,97.60116307,,
9798283,Jordan,439,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2003M11,45.67395264,,
9798349,Greece,174,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1982M12,31.51106978,,
9798727,Panama,283,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1965M6,33.58364295,,
9800471,Panama,283,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1984M7,94.80211705,,
9800945,Paraguay,288,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1978M4,47.36755935,,
9801999,Jordan,439,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2003M7,48.72495446,,
9802000,Jordan,439,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2012M6,142.4863388,,
9802198,Spain,184,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1998M8,86.89797801,,
9802199,Spain,184,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,2005M9,98.279622,,
9805605,Greece,174,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1973M11,6.852852011,,
9805979,Spain,184,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1978M6,29.09071169,,
9807217,Spain,184,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1996M11,88.52556123,,
9807692,Panama,283,"Goods, Deflator/Unit Value of Exports, Index",TXG_D_FOB_IX,1968M11,30.01472524,,
